Activity Date,Transaction,Description,Symbol,Qty,Fill Price,Commission,Net Amount
4/5/2013,Buy To Close,FB 5 Apr 13 (W) 26.00 Call,FB,8,0,,0
4/5/2013,Sell To Open,FB Stock,FB,-800,26,5,20795
4/1/2013,Buy To Close,P Apr 13 14.00 Call,P,23,0.35,11.95,-816.95
4/1/2013,Buy To Close,P Apr 13 14.00 Call,P,23,0.35,11.95,-816.95
4/1/2013,Sell To Open,FB 5 Apr 13 (W) 26.00 Call,FB,-8,0.28,9.7,214.3
4/1/2013,,Money Market Dividends Paid,,,,,0.13
3/27/2013,Sell To Open,P Apr 13 14.00 Call,P,-3,0.6,0.45,179.55
3/27/2013,Sell To Open,P Apr 13 14.00 Call,P,-20,0.6,11.5,1188.5
3/25/2013,Sell To Open,FB 28 Mar 13 (W) 26.00 Call,FB,-8,0.12,9.7,86.3
3/21/2013,Buy To Close,P Apr 13 14.00 Call,P,23,0.35,11.95,-816.95
3/15/2013,Sell To Open,P Apr 13 14.00 Call,P,-3,0.85,0.45,254.55
3/15/2013,Sell To Open,P Apr 13 14.00 Call,P,-5,0.85,0.75,424.25
3/15/2013,Sell To Open,P Apr 13 14.00 Call,P,-2,0.85,0.3,169.7
3/15/2013,Sell To Open,P Apr 13 14.00 Call,P,-4,0.85,0.6,339.4
3/15/2013,Sell To Open,P Apr 13 14.00 Call,P,-9,0.85,9.85,755.15
3/15/2013,OPTASS,FB Mar 13 28.00 Put,FB,8,,,0
3/15/2013,Buy To Close,FB Mar 13 28.00 Put,FB,8,0,,0
3/15/2013,Buy To Open,FB Stock,FB,800,28,5,-22405
3/11/2013,Sell To Open,FB Mar 13 28.00 Put,FB,-8,0.44,9.7,342.3
3/8/2013,Buy To Close,P Mar 13 13.00 Call,P,4,1.45,0.6,-580.6
3/8/2013,Buy To Close,P Mar 13 13.00 Call,P,14,1.45,10.6,-2040.6
3/8/2013,Buy To Close,FB 8 Mar 13 (W) 27.50 Put,FB,1,0.03,0.15,-3.15
3/8/2013,Buy To Close,FB 8 Mar 13 (W) 27.50 Put,FB,1,0.03,0.15,-3.15
3/8/2013,Buy To Close,FB 8 Mar 13 (W) 27.50 Put,FB,2,0.03,0.3,-6.3
3/8/2013,Buy To Close,FB 8 Mar 13 (W) 27.50 Put,FB,1,0.03,0.15,-3.15
3/8/2013,Buy To Close,FB 8 Mar 13 (W) 27.50 Put,FB,3,0.03,8.95,-17.95
3/8/2013,Buy To Close,P Mar 13 13.00 Call,P,5,1.6,9.25,-809.25
3/7/2013,Sell To Open,P Mar 13 13.00 Call,P,-23,0.56,11.95,1276.05
3/5/2013,Sell To Open,FB 8 Mar 13 (W) 27.50 Put,FB,-4,0.52,0.6,207.4
3/5/2013,Sell To Open,FB 8 Mar 13 (W) 27.50 Put,FB,-4,0.52,9.1,198.9
